customer_id,first_name,last_name,phone,email,street,city,state,zip_code,Extract Time,Source,local
1,Debra,Burks,Missing,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,2024-05-01 21:24:41.449718,datalake,False
2,Kasha,Todd,Missing,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,2024-05-01 21:24:41.449718,datalake,False
3,Tameka,Fisher,Missing,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,2024-05-01 21:24:41.449718,datalake,False
4,Daryl,Spence,Missing,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,2024-05-01 21:24:41.449718,datalake,False
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,2024-05-01 21:24:41.449718,datalake,False
6,Lyndsey,Bean,Missing,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,2024-05-01 21:24:41.449718,datalake,False
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,2024-05-01 21:24:41.449718,datalake,False
8,Jacquline,Duncan,Missing,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,2024-05-01 21:24:41.449718,datalake,False
9,Genoveva,Baldwin,Missing,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,2024-05-01 21:24:41.449718,datalake,False
10,Pamelia,Newman,Missing,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,2024-05-01 21:24:41.449718,datalake,False
11,Deshawn,Mendoza,Missing,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,2024-05-01 21:24:41.449718,datalake,False
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,2024-05-01 21:24:41.449718,datalake,False
13,Lashawn,Ortiz,Missing,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,2024-05-01 21:24:41.449718,datalake,False
14,Garry,Espinoza,Missing,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,2024-05-01 21:24:41.449718,datalake,False
15,Linnie,Branch,Missing,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,2024-05-01 21:24:41.449718,datalake,False
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,2024-05-01 21:24:41.449718,datalake,False
17,Caren,Stephens,Missing,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,2024-05-01 21:24:41.449718,datalake,False
18,Georgetta,Hardin,Missing,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,2024-05-01 21:24:41.449718,datalake,False
19,Lizzette,Stein,Missing,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,2024-05-01 21:24:41.449718,datalake,False
20,Aleta,Shepard,Missing,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,2024-05-01 21:24:41.449718,datalake,False
21,Tobie,Little,Missing,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,2024-05-01 21:24:41.449718,datalake,False
